Date,Time,CWD_Crse,Nel_Crse,CWD_Spd,Nel_Spd,Range,Bearing,Bearing Rate,Relative Bearing,ATB
12/Dec/1995,06:54:00,309.4,33.4,6.4880223289,10.071022526,15744.3953157022,70.9887164148,-0.290656771,13.5724528752,-51.2393280193
12/Dec/1995,06:55:00,310,50.9,6.4194115495,10.5782675543,15287.3174268823,70.6894197269,-0.2958123663,12.8101075653,-51.1867904469
12/Dec/1995,06:56:00,310.2,50.5,6.4484423962,10.9567337358,14826.169851871,70.3844599315,-0.3305802154,12.9570640719,-51.7502314499
12/Dec/1995,06:57:00,310.2,49.7,6.4850430199,11.0303001076,14363.9456016391,70.043317338,-0.3460371648,12.6284466313,-51.6805045417
12/Dec/1995,06:58:00,309.8,50.3,6.4091595324,11.1905774972,13900.1797581152,69.6858180687,-0.3534178725,11.7951789964,-51.4084972782
12/Dec/1995,06:59:00,310.4,49.8,6.4167110359,11.2247592391,13429.7322915141,69.3201079379,-0.3793468274,11.6964272168,-52.6763249808
12/Dec/1995,07:00:00,310.1,49.8,6.4018031635,11.2429097212,12967.286890788,68.927333273,-0.4269856602,11.2296156222,-53.788491804
12/Dec/1995,07:01:00,310,50.4,6.4515864596,11.4689820053,12505.7568446031,68.4847205438,-0.470245781,11.3308008821,-54.1582334746
12/Dec/1995,07:02:00,309.6,50.1,6.4696222068,11.3190990586,12041.40459238,67.996497702,-0.4849008347,10.3236588516,-54.4392040164
12/Dec/1995,07:03:00,310,50.3,6.388507072,11.3637477868,11581.3160232808,67.4924945837,-0.5371090121,9.5965796276,-55.1933413037
12/Dec/1995,07:04:00,310.5,49.7,6.403644949,11.4377382516,11122.3840037248,66.9334195877,-0.5646162272,9.9832236202,-55.3475000129
12/Dec/1995,07:05:00,310.4,50.4,6.4744802438,11.32667927,10668.7086379033,66.3450032607,-0.6230454706,8.7549802273,-54.9175515598
12/Dec/1995,07:06:00,309.3,50.8,6.4937961635,11.3689016088,10207.6796480359,65.6940634009,-1.1212908849,8.8249642317,-50.0441924178
12/Dec/1995,07:07:00,310,49.8,6.4891420607,11.2054776587,9745.9182007415,64.5202330097,-2.0112488311,7.8160353842,-30.7850354502
