Time(s),Lap,GPS_Update,GPS_Delay,Accuracy (m),Lat,Long,Altitude (m),Speed (MPH),Heading (deg),dX(m),dY(m),dZ(m),X(m),Y(m),Z(m),OBD_Update,Engine Speed (RPM) *OBD,"Accelerator Pedal (%) *OBD"""
74.73,0,0,0,2.5,39.7342916,-103.9008167,1533,69.7,286.6,-0.14,-0.1,0.11,-72.98,-162.16,46.23,0,4129,98.99
74.78,0,0,0,2.5,39.7342916,-103.9008167,1533,69.7,286.6,-0.1,-0.52,0.58,-73.08,-162.68,46.81,0,4129,98.99
74.83,0,0,0,2.5,39.7342916,-103.9008167,1533,69.7,286.6,0.03,-0.38,0.48,-73.05,-163.06,47.29,1,4131.75,100
74.89,0,0,0,2.5,39.7342916,-103.9008167,1533,69.7,286.6,0.06,-0.37,0.53,-72.99,-163.43,47.82,0,4131.75,100
74.95,0,0,0,2.5,39.7342916,-103.9008167,1533,69.7,286.6,-0.26,-0.33,0.21,-73.25,-163.76,48.03,0,4131.75,100
74.99,0,1,0.11,2.5,39.73433,-103.9008633,1534,68.1,289,-0.09,-0.42,0.47,-73.34,-164.18,48.5,0,4131.75,100
75.02,0,0,0.11,2.5,39.73433,-103.9008633,1534,68.1,289,-0.19,-0.41,0.12,-73.53,-164.59,48.62,1,4209.25,100
75.09,0,0,0.11,2.5,39.73433,-103.9008633,1534,68.1,289,-0.21,-0.36,0.34,-73.74,-164.95,48.96,0,4209.25,100
75.13,0,0,0.11,2.5,39.73433,-103.9008633,1534,68.1,289,-0.03,-0.53,0.52,-73.77,-165.48,49.48,0,4209.25,100
75.18,0,0,0.11,2.5,39.73433,-103.9008633,1534,68.1,289,0.1,-0.81,0.82,-73.67,-166.29,50.3,1,4275.5,100
75.2,0,1,0.01,2.5,39.7343667,-103.9009116,1535,67,291.4,-0.15,-0.54,0.45,-73.82,-166.83,50.75,0,4275.5,100
75.25,0,0,0.01,2.5,39.7343667,-103.9009116,1535,67,291.4,-0.2,-0.53,0.67,-74.02,-167.36,51.42,0,4275.5,100
75.31,0,0,0.01,2.5,39.7343667,-103.9009116,1535,67,291.4,0.1,-0.59,0.71,-73.92,-167.95,52.13,0,4275.5,100
75.36,0,0,0.01,2.5,39.7343667,-103.9009116,1535,67,291.4,0.02,-0.4,0.4,-73.9,-168.35,52.53,1,4326,100
75.38,0,1,0,2.5,39.7344067,-103.9009583,1536,65.9,293.8,-0.3,-0.4,0.02,-74.2,-168.75,52.55,0,4326,100
75.49,0,1,0,2.5,39.734445,-103.901005,1537,64.8,296.1,0,-0.41,0.35,-74.2,-169.16,52.9,0,4326,100
75.51,0,0,0,2.5,39.734445,-103.901005,1537,64.8,296.1,-0.09,-0.32,0.13,-74.29,-169.48,53.03,0,4326,100
75.55,0,0,0,2.5,39.734445,-103.901005,1537,64.8,296.1,-0.02,-0.46,0.77,-74.31,-169.94,53.8,0,4326,100
75.61,0,0,0,2.5,39.734445,-103.901005,1537,64.8,296.1,-0.09,-0.15,0.23,-74.4,-170.09,54.03,1,4386,0
75.65,0,0,0,2.5,39.734445,-103.901005,1537,64.8,296.1,0.05,-0.29,0.31,-74.35,-170.38,54.34,0,4386,0
75.68,0,1,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.07,-0.35,0.27,-74.28,-170.73,54.61,0,4386,0
75.72,0,0,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.1,-0.11,0.08,-74.18,-170.84,54.69,0,4386,0
75.78,0,0,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.04,-0.03,0,-74.14,-170.87,54.69,0,4386,0
75.83,0,0,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.17,-0.03,-0.2,-73.97,-170.9,54.49,1,4264.75,0
75.88,0,0,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.14,0.19,-0.49,-73.83,-170.71,54,0,4264.75,0
75.96,0,0,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.27,0.11,-0.46,-73.56,-170.6,53.54,0,4264.75,0
76.02,0,0,0,2.5,39.734485,-103.9010483,1537,63.9,298.5,0.48,0.11,-0.3,-73.08,-170.49,53.24,0,4264.75,0
76.02,0,1,0.14,2.5,39.7345317,-103.9010934,1537,63.5,301.2,0.28,0.12,-0.42,-72.8,-170.37,52.82,0,4264.75,0
76.08,0,0,0.14,2.5,39.7345317,-103.9010934,1537,63.5,301.2,0.49,0.12,-0.44,-72.31,-170.25,52.38,1,4263,0
76.12,0,1,0,2.5,39.73458,-103.9011367,1538,63.3,303.7,0.04,0.18,-0.9,-72.27,-170.07,51.48,0,4263,0
76.16,0,0,0,2.5,39.73458,-103.9011367,1538,63.3,303.7,0.16,0.06,-0.87,-72.11,-170.01,50.61,0,4263,0
76.21,0,0,0,2.5,39.73458,-103.9011367,1538,63.3,303.7,0.29,0.18,-0.69,-71.82,-169.83,49.92,0,4263,0
76.26,0,0,0,2.5,39.73458,-103.9011367,1538,63.3,303.7,0.16,0.25,-0.87,-71.66,-169.58,49.05,1,3881,0
76.29,0,1,0,2.5,39.7346284,-103.90118,1538,63.3,306,0.52,0.06,-0.21,-71.14,-169.52,48.84,0,3881,0
76.35,0,0,0,2.5,39.7346284,-103.90118,1538,63.3,306,0.3,0.22,-0.54,-70.84,-169.3,48.3,0,3881,0
76.4,0,0,0,2.5,39.7346284,-103.90118,1538,63.3,306,0.27,0.12,-0.81,-70.57,-169.18,47.49,0,3881,0
76.52,0,1,0.03,2.5,39.73468,-103.9012283,1537,63.8,307.9,0.16,0.23,-1.01,-70.41,-168.95,46.48,0,3881,0
76.55,0,0,0.03,2.5,39.73468,-103.9012283,1537,63.8,307.9,0.16,0.12,-1.16,-70.25,-168.83,45.32,1,3745.75,0
76.56,0,0,0.03,2.5,39.73468,-103.9012283,1537,63.8,307.9,0.28,0.44,-1.14,-69.97,-168.39,44.18,0,3745.75,0
76.61,0,0,0.03,2.5,39.73468,-103.9012283,1537,63.8,307.9,0.23,0.16,-1.05,-69.74,-168.23,43.13,0,3745.75,0
76.67,0,0,0.03,2.5,39.73468,-103.9012283,1537,63.8,307.9,0.35,0.32,-0.88,-69.39,-167.91,42.25,0,3745.75,0
76.69,0,1,0,2.5,39.7347283,-103.9012717,1538,64,309.7,0.55,0.42,-0.56,-68.84,-167.49,41.69,0,3745.75,0
76.73,0,0,0,2.5,39.7347283,-103.9012717,1538,64,309.7,0.37,0.45,-0.75,-68.47,-167.04,40.94,1,3399.5,0
76.79,0,0,0,2.5,39.7347283,-103.9012717,1538,64,309.7,0.3,0.34,-0.88,-68.17,-166.7,40.06,0,3399.5,0
76.85,0,0,0,2.5,39.7347283,-103.9012717,1538,64,309.7,0.58,0.31,-0.98,-67.59,-166.39,39.08,0,3399.5,0
76.92,0,0,0,2.5,39.7347283,-103.9012717,1538,64,309.7,0.08,0.62,-0.89,-67.51,-165.77,38.19,1,3198.5,0
76.95,0,0,0,2.5,39.7347283,-103.9012717,1538,64,309.7,0.34,0.73,-0.76,-67.17,-165.04,37.43,0,3198.5,0
76.99,0,1,0.1,2.5,39.7347767,-103.9013133,1538,64.1,311.3,0.27,0.5,-0.55,-66.9,-164.54,36.88,0,3198.5,0
77.02,0,0,0.1,2.5,39.7347767,-103.9013133,1538,64.1,311.3,0.36,0.39,-0.6,-66.54,-164.15,36.28,0,3198.5,0
77.08,0,0,0.1,2.5,39.7347767,-103.9013133,1538,64.1,311.3,0.32,0.77,-0.09,-66.22,-163.38,36.19,0,3198.5,0
77.13,0,1,0,2.5,39.7348234,-103.9013533,1538,64.1,312.7,0.35,0.69,-0.34,-65.87,-162.69,35.85,1,3117.75,0
77.16,0,0,0,2.5,39.7348234,-103.9013533,1538,64.1,312.7,0.47,0.64,-0.18,-65.4,-162.05,35.67,0,3117.75,0
77.22,0,0,0,2.5,39.7348234,-103.9013533,1538,64.1,312.7,0.41,0.55,-0.01,-64.99,-161.5,35.66,0,3117.75,0
77.27,0,0,0,2.5,39.7348234,-103.9013533,1538,64.1,312.7,0.35,0.72,-0.15,-64.64,-160.78,35.51,0,3117.75,0
77.3,0,1,0,2.5,39.7348667,-103.901395,1537,63.9,313.8,0.21,0.57,-0.09,-64.43,-160.21,35.42,1,3116.25,0
77.35,0,0,0,2.5,39.7348667,-103.901395,1537,63.9,313.8,0.37,0.74,-0.1,-64.06,-159.47,35.32,0,3116.25,0
77.41,0,0,0,2.5,39.7348667,-103.901395,1537,63.9,313.8,0.33,0.67,-0.08,-63.73,-158.8,35.24,0,3116.25,0
77.46,0,0,0,2.5,39.7348667,-103.901395,1537,63.9,313.8,0.19,0.69,-0.15,-63.54,-158.11,35.09,0,3116.25,0
77.59,0,1,0.09,2.5,39.734905,-103.9014367,1537,63.5,314.2,0.21,0.78,-0.11,-63.33,-157.33,34.98,0,3116.25,0
77.62,0,0,0.09,2.5,39.734905,-103.9014367,1537,63.5,314.2,0.31,0.72,-0.1,-63.02,-156.61,34.88,1,3084.75,0
77.65,0,0,0.09,2.5,39.734905,-103.9014367,1537,63.5,314.2,0.18,0.63,-0.09,-62.84,-155.98,34.79,0,3084.75,0
77.69,0,1,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.19,0.81,0.01,-62.65,-155.17,34.8,0,3084.75,0
77.76,0,0,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.17,0.88,-0.09,-62.48,-154.29,34.71,0,3084.75,0
78.45,0,0,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.11,0.81,-0.04,-62.37,-153.48,34.67,1,3020.25,0
78.47,0,1,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.15,0.83,-0.02,-62.22,-152.65,34.65,0,3020.25,0
78.49,0,0,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.21,0.91,0,-62.01,-151.74,34.65,0,3020.25,0
78.53,0,0,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.19,0.85,0.01,-61.82,-150.89,34.66,0,3020.25,0
78.63,0,0,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.2,0.88,-0.09,-61.62,-150.01,34.57,0,3020.25,0
78.66,0,0,0,2.5,39.7349433,-103.9014783,1537,63.1,314.6,0.14,0.89,-0.14,-61.48,-149.12,34.43,0,3020.25,0
78.67,0,1,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.14,0.89,-0.14,-61.34,-148.23,34.29,0,3020.25,0
78.69,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.14,0.84,-0.06,-61.2,-147.39,34.23,0,3020.25,0
78.72,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.11,0.83,-0.04,-61.09,-146.56,34.19,0,3020.25,0
78.78,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.13,0.94,-0.01,-60.96,-145.62,34.18,1,3062,20.2
78.82,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.07,0.99,-0.12,-60.89,-144.63,34.06,0,3062,20.2
78.87,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.11,0.93,-0.1,-60.78,-143.7,33.96,0,3062,20.2
78.89,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.22,0.85,-0.11,-60.56,-142.85,33.85,0,3062,20.2
78.93,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.27,0.76,-0.04,-60.29,-142.09,33.81,0,3062,20.2
78.98,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.15,0.95,-0.12,-60.14,-141.14,33.69,1,2983,15.15
79.02,0,0,0,2.5,39.73509,-103.9016834,1537,59.2,312.9,0.1,0.86,0.01,-60.04,-140.28,33.7,0,2983,15.15
79.04,0,1,0.17,2.5,39.7351133,-103.9017283,1537,58.7,311.8,0.02,0.92,-0.06,-60.02,-139.36,33.64,0,2983,15.15
79.07,0,0,0.17,2.5,39.7351133,-103.9017283,1537,58.7,311.8,0.15,0.53,0.02,-59.87,-138.83,33.66,0,2983,15.15
79.1,0,0,0.17,2.5,39.7351133,-103.9017283,1537,58.7,311.8,0.29,0.72,-0.09,-59.58,-138.11,33.57,0,2983,15.15
79.13,0,1,0,2.5,39.7351334,-103.9017733,1537,58,310.6,-0.34,0.92,-0.64,-59.92,-137.19,32.93,0,2983,15.15
79.15,0,0,0,2.5,39.7351334,-103.9017733,1537,58,310.6,0.42,0.68,-0.39,-59.5,-136.51,32.54,0,2983,15.15
79.18,0,0,0,2.5,39.7351334,-103.9017733,1537,58,310.6,0.06,0.73,-0.14,-59.44,-135.78,32.4,1,2990.75,26.26
79.19,0,0,0,2.5,39.7351334,-103.9017733,1537,58,310.6,0.1,0.96,-0.2,-59.34,-134.82,32.2,0,2990.75,26.26
79.23,0,0,0,2.5,39.7351334,-103.9017733,1537,58,310.6,0.3,0.8,-0.32,-59.04,-134.02,31.88,0,2990.75,26.26
79.26,0,0,0,2.5,39.7351334,-103.9017733,1537,58,310.6,0.03,0.81,-0.23,-59.01,-133.21,31.65,0,2990.75,26.26
79.29,0,0,0,2.5,39.7351334,-103.9017733,1537,58,310.6,0.17,0.76,-0.02,-58.84,-132.45,31.63,0,2990.75,26.26
79.32,0,1,0,2.5,39.7351483,-103.9018183,1537,57.1,309,0.27,0.8,-0.06,-58.57,-131.65,31.57,0,2990.75,26.26
79.33,0,0,0,2.5,39.7351483,-103.9018183,1537,57.1,309,0.07,0.94,-0.1,-58.5,-130.71,31.47,1,3000,31.31
79.36,0,0,0,2.5,39.7351483,-103.9018183,1537,57.1,309,0.09,1.03,-0.02,-58.41,-129.68,31.45,0,3000,31.31
79.39,0,0,0,2.5,39.7351483,-103.9018183,1537,57.1,309,0.12,0.92,0.08,-58.29,-128.76,31.53,0,3000,31.31
79.42,0,0,0,2.5,39.7351483,-103.9018183,1537,57.1,309,0.05,0.88,0.01,-58.24,-127.88,31.54,0,3000,31.31
79.43,0,0,0,2.5,39.7351483,-103.9018183,1537,57.1,309,0.15,1.11,0.14,-58.09,-126.77,31.68,0,3000,31.31
79.48,0,1,0,2.5,39.7351633,-103.9018683,1537,56.7,306.8,0.09,0.95,0.19,-58,-125.82,31.87,0,3000,31.31
79.52,0,0,0,2.5,39.7351633,-103.9018683,1537,56.7,306.8,-0.03,1.02,0,-58.03,-124.8,31.87,1,3014.5,44.44
79.54,0,0,0,2.5,39.7351633,-103.9018683,1537,56.7,306.8,0.02,0.89,0.11,-58.01,-123.91,31.98,0,3014.5,44.44
79.57,0,0,0,2.5,39.7351633,-103.9018683,1537,56.7,306.8,-0.01,0.98,0.02,-58.02,-122.93,32,0,3014.5,44.44
79.66,0,1,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,0.06,1.2,0.2,-57.96,-121.73,32.2,0,3014.5,44.44
79.69,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.09,0.89,0.03,-58.05,-120.84,32.23,0,3014.5,44.44
79.73,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.07,0.83,0.02,-58.12,-120.01,32.25,0,3014.5,44.44
79.76,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.02,0.9,0.15,-58.14,-119.11,32.4,0,3014.5,44.44
79.8,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.19,0.88,-0.01,-58.33,-118.23,32.39,1,3049,58.59
79.83,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.22,0.88,-0.03,-58.55,-117.35,32.36,0,3049,58.59
79.87,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.21,0.79,0.04,-58.76,-116.56,32.4,0,3049,58.59
79.96,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.24,0.83,0.01,-59,-115.73,32.41,0,3049,58.59
79.97,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,-0.09,0.63,0.09,-59.09,-115.1,32.5,1,3116.75,70.71
80.03,0,0,0,2.5,39.73518,-103.9019217,1537,56.7,304.9,0.14,0.48,0.24,-58.95,-114.62,32.74,0,3116.75,70.71
80.04,0,1,0.18,2.5,39.7351884,-103.9019733,1537,56.4,302.4,0.14,0.48,0.24,-58.81,-114.14,32.98,0,3116.75,70.71
80.08,0,0,0.18,2.5,39.7351884,-103.9019733,1537,56.4,302.4,0.41,0.48,0.43,-58.4,-113.66,33.41,0,3116.75,70.71
80.13,0,0,0.18,2.5,39.7351884,-103.9019733,1537,56.4,302.4,0.02,0.9,0.2,-58.38,-112.76,33.61,0,3116.75,70.71
80.17,0,1,0,2.5,39.735195,-103.9020267,1537,55.9,300,-0.06,0.91,0.38,-58.44,-111.85,33.99,0,3116.75,70.71
80.22,0,0,0,2.5,39.735195,-103.9020267,1537,55.9,300,0.62,0.38,0.15,-57.82,-111.47,34.14,0,3116.75,70.71
80.26,0,0,0,2.5,39.735195,-103.9020267,1537,55.9,300,0.6,0.39,0.51,-57.22,-111.08,34.65,1,3192.25,61.62
80.3,0,1,0,2.5,39.7351967,-103.9020783,1537,55.5,297.4,0.48,0.32,0.01,-56.74,-110.76,34.66,0,3192.25,61.62
80.35,0,0,0,2.5,39.7351967,-103.9020783,1537,55.5,297.4,0.59,0.34,0.7,-56.15,-110.42,35.36,0,3192.25,61.62
80.39,0,0,0,2.5,39.7351967,-103.9020783,1537,55.5,297.4,0.12,0.43,-0.18,-56.03,-109.99,35.18,0,3192.25,61.62
80.45,0,0,0,2.5,39.7351967,-103.9020783,1537,55.5,297.4,0.09,0.96,0.02,-55.94,-109.03,35.2,1,3254.75,61.62
80.5,0,1,0.01,2.5,39.7352,-103.9021283,1536,54.7,295.2,-0.21,0.9,-0.08,-56.15,-108.13,35.12,0,3254.75,61.62
80.55,0,0,0.01,2.5,39.7352,-103.9021283,1536,54.7,295.2,-0.18,0.84,0.05,-56.33,-107.29,35.17,0,3254.75,61.62
80.68,0,0,0.01,2.5,39.7352,-103.9021283,1536,54.7,295.2,-0.12,0.92,0,-56.45,-106.37,35.17,0,3254.75,61.62
80.69,0,1,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.18,0.78,0.06,-56.63,-105.59,35.23,0,3254.75,61.62
80.72,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.19,0.87,-0.04,-56.82,-104.72,35.19,1,3340.5,73.74
80.73,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.03,0.72,0.13,-56.85,-104,35.32,0,3340.5,73.74
80.79,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,0.07,0.63,0.29,-56.78,-103.37,35.61,0,3340.5,73.74
80.85,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.12,0.91,0.21,-56.9,-102.46,35.82,0,3340.5,73.74
80.9,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.19,0.68,0.11,-57.09,-101.78,35.93,1,3397,100
80.95,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,0.05,0.57,0.17,-57.04,-101.21,36.1,0,3397,100
81.02,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.14,0.64,0.07,-57.18,-100.57,36.17,1,3401.75,100
81.07,0,0,0,2.5,39.7351983,-103.9021767,1535,54.1,292.7,-0.06,0.54,0.09,-57.24,-100.03,36.26,0,3401.75,100
81.09,0,1,0.2,2.5,39.7352,-103.9022266,1535,53.5,290.8,-0.06,0.54,0.09,-57.3,-99.49,36.35,0,3401.75,100
81.12,0,0,0.2,2.5,39.7352,-103.9022266,1535,53.5,290.8,-0.23,0.61,-0.06,-57.53,-98.88,36.29,0,3401.75,100
81.16,0,1,0,2.5,39.7351917,-103.9022783,1534,53.1,287.8,-0.33,0.63,0.06,-57.86,-98.25,36.35,0,3401.75,100
81.2,0,0,0,2.5,39.7351917,-103.9022783,1534,53.1,287.8,-0.22,0.68,0,-58.08,-97.57,36.35,1,3454,100
81.25,0,0,0,2.5,39.7351917,-103.9022783,1534,53.1,287.8,-0.19,0.63,-0.05,-58.27,-96.94,36.3,0,3454,100
81.29,0,1,0,2.5,39.7351866,-103.90233,1533,52.6,285.6,-0.2,0.64,-0.03,-58.47,-96.3,36.27,0,3454,100
81.33,0,0,0,2.5,39.7351866,-103.90233,1533,52.6,285.6,-0.2,0.48,-0.06,-58.67,-95.82,36.21,0,3454,100
81.39,0,0,0,2.5,39.7351866,-103.90233,1533,52.6,285.6,-0.23,0.64,0.02,-58.9,-95.18,36.23,1,3526.5,100
81.45,0,0,0,2.5,39.7351866,-103.90233,1533,52.6,285.6,-0.22,0.62,0.01,-59.12,-94.56,36.24,0,3526.5,100
81.49,0,0,0,2.5,39.7351866,-103.90233,1533,52.6,285.6,-0.25,0.5,0.07,-59.37,-94.06,36.31,0,3526.5,100
81.5,0,1,0.01,2.5,39.7351567,-103.9023666,1532,50.4,281.1,-0.25,0.5,0.07,-59.62,-93.56,36.38,0,3526.5,100
81.55,0,0,0.01,2.5,39.7351567,-103.9023666,1532,50.4,281.1,-0.17,0.53,0.03,-59.79,-93.03,36.41,0,3526.5,100
81.59,0,0,0.01,2.5,39.7351567,-103.9023666,1532,50.4,281.1,-0.33,0.47,-0.11,-60.12,-92.56,36.3,1,3573.25,100
81.69,0,0,0.01,2.5,39.7351567,-103.9023666,1532,50.4,281.1,-0.17,0.41,0.08,-60.29,-92.15,36.38,0,3573.25,100
81.7,0,1,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.31,0.41,-0.1,-60.6,-91.74,36.28,0,3573.25,100
81.73,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.22,0.38,-0.04,-60.82,-91.36,36.24,0,3573.25,100
81.79,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.19,0.33,-0.09,-61.01,-91.03,36.15,0,3573.25,100
81.84,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.23,0.4,-0.04,-61.24,-90.63,36.11,0,3573.25,100
81.96,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.21,0.34,-0.03,-61.45,-90.29,36.08,1,3632.75,100
82,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.28,0.43,-0.03,-61.73,-89.86,36.05,0,3632.75,100
82.03,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.28,0.34,-0.08,-62.01,-89.52,35.97,0,3632.75,100
82.06,0,0,0,2.5,39.73513,-103.902415,1532,49.4,276.9,-0.2,0.38,0.19,-62.21,-89.14,36.16,0,3632.75,100
82.07,0,1,0.17,2.5,39.735105,-103.9024633,1532,48.7,272.8,-0.2,0.38,0.19,-62.41,-88.76,36.35,0,3632.75,100
82.12,0,0,0.17,2.5,39.735105,-103.9024633,1532,48.7,272.8,-0.19,0.38,0.08,-62.6,-88.38,36.43,1,3754.5,100
82.17,0,0,0.17,2.5,39.735105,-103.9024633,1532,48.7,272.8,-0.17,0.3,0.06,-62.77,-88.08,36.49,0,3754.5,100
82.22,0,0,0.17,2.5,39.735105,-103.9024633,1532,48.7,272.8,-0.3,0.31,0,-63.07,-87.77,36.49,0,3754.5,100
82.28,0,0,0.17,2.5,39.735105,-103.9024633,1532,48.7,272.8,-0.16,0.22,0.01,-63.23,-87.55,36.5,0,3754.5,100
82.29,0,1,0,2.5,39.7350533,-103.9025683,1531,48.2,265,0.01,0.02,0.58,-63.22,-87.53,37.08,0,3754.5,100
82.35,0,0,0,2.5,39.7350533,-103.9025683,1531,48.2,265,0,-0.02,0.32,-63.22,-87.55,37.4,1,3806.5,100
82.42,0,0,0,2.5,39.7350533,-103.9025683,1531,48.2,265,-0.05,-0.07,0.18,-63.27,-87.62,37.58,0,3806.5,100
82.46,0,0,0,2.5,39.7350533,-103.9025683,1531,48.2,265,0.02,-0.05,0.28,-63.25,-87.67,37.86,0,3806.5,100
82.5,0,1,0.01,2.5,39.735025,-103.902625,1531,48.6,261.2,0.01,-0.18,0.43,-63.24,-87.85,38.29,0,3806.5,100
82.55,0,0,0.01,2.5,39.735025,-103.902625,1531,48.6,261.2,-0.02,-0.26,0.53,-63.26,-88.11,38.82,1,3888.5,100
82.6,0,0,0.01,2.5,39.735025,-103.902625,1531,48.6,261.2,-0.08,0.02,0.1,-63.34,-88.09,38.92,0,3888.5,100
82.66,0,0,0.01,2.5,39.735025,-103.902625,1531,48.6,261.2,-0.05,-0.35,0.46,-63.39,-88.44,39.38,0,3888.5,100
82.77,0,1,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.35,-0.14,0.74,-63.04,-88.58,40.12,1,3964.75,100
82.82,0,0,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.09,-0.33,0.6,-62.95,-88.91,40.72,0,3964.75,100
82.86,0,0,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.18,-0.52,0.76,-62.77,-89.43,41.48,0,3964.75,100
82.9,0,0,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.05,-0.29,0.45,-62.72,-89.72,41.93,0,3964.75,100
82.93,0,0,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.17,-0.08,0.44,-62.55,-89.8,42.37,0,3964.75,100
82.98,0,0,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.16,-0.45,0.75,-62.39,-90.25,43.12,0,3964.75,100
83.02,0,0,0.07,2.5,39.7349967,-103.90268,1530,49.1,257.7,0.26,0.01,0.64,-62.13,-90.24,43.76,1,4050.5,100
83.06,0,1,0.09,2.5,39.7349667,-103.902735,1529,49.7,254.5,0.01,0.3,-0.47,-62.12,-89.94,43.29,0,4050.5,100
83.1,0,0,0.09,2.5,39.7349667,-103.902735,1529,49.7,254.5,0.33,-0.5,0.84,-61.79,-90.44,44.13,0,4050.5,100
83.15,0,0,0.09,2.5,39.7349667,-103.902735,1529,49.7,254.5,-0.19,0.08,-0.21,-61.98,-90.36,43.92,0,4050.5,100
83.2,0,0,0.09,2.5,39.7349667,-103.902735,1529,49.7,254.5,0.09,-0.13,0.3,-61.89,-90.49,44.22,0,4050.5,100
83.26,0,0,0.09,2.5,39.7349667,-103.902735,1529,49.7,254.5,0.03,-0.12,0.1,-61.86,-90.61,44.32,1,4124,100
83.32,0,1,0,2.5,39.7349,-103.902845,1528,51.7,248.7,0.21,-0.37,0.46,-61.65,-90.98,44.78,0,4124,100
83.36,0,0,0,2.5,39.7349,-103.902845,1528,51.7,248.7,-0.02,-0.25,0.26,-61.67,-91.23,45.04,0,4124,100
83.47,0,0,0,2.5,39.7349,-103.902845,1528,51.7,248.7,0.04,-0.47,0.5,-61.63,-91.7,45.54,1,4200.5,100
83.49,0,1,0,2.5,39.7348667,-103.9029016,1528,52.9,246.6,0.22,-0.24,0.72,-61.41,-91.94,46.26,0,4200.5,100
83.5,0,0,0,2.5,39.7348667,-103.9029016,1528,52.9,246.6,0.06,-0.19,0.6,-61.35,-92.13,46.86,0,4200.5,100
83.54,0,0,0,2.5,39.7348667,-103.9029016,1528,52.9,246.6,-0.33,-0.02,-0.16,-61.68,-92.15,46.7,0,4200.5,100
83.59,0,0,0,2.5,39.7348667,-103.9029016,1528,52.9,246.6,-0.03,-0.08,0.2,-61.71,-92.23,46.9,0,4200.5,100
83.65,0,0,0,2.5,39.7348667,-103.9029016,1528,52.9,246.6,0.24,-0.38,0.55,-61.47,-92.61,47.45,0,4200.5,100
83.67,0,1,0,2.5,39.7348317,-103.9029584,1528,54.2,244.6,0.15,-0.53,0.97,-61.32,-93.14,48.42,0,4200.5,100
83.73,0,0,0,2.5,39.7348317,-103.9029584,1528,54.2,244.6,0.14,-0.2,0.45,-61.18,-93.34,48.87,0,4200.5,100
