time,Wind Direction (Degs),Wind Speed (M/Sec),Lat,Long
14:00:17,265.7,16.4,37.8212532,-122.4521246
14:00:18,265.8,16.4,37.8211425,-122.4521088
14:00:19,265.8,16.4,37.8210357,-122.4520574
14:00:20,265.9,16.4,37.820945,-122.4519652
14:00:21,265.9,16.4,37.8208669,-122.4518546
14:00:22,265.9,16.4,37.8207896,-122.451742
14:00:23,265.9,16.4,37.8207093,-122.4516319
14:00:24,265.9,16.4,37.8206223,-122.4515267
14:00:25,265.9,16.4,37.8205341,-122.451419
14:00:26,265.8,16.5,37.8204464,-122.4513031
14:00:27,265.7,16.5,37.8203452,-122.4512052
14:00:28,265.6,16.4,37.8202356,-122.4511566
14:00:29,265.5,16.4,37.8201317,-122.4511582
14:00:30,265.4,16.4,37.8200358,-122.4511915
14:00:31,265.3,16.4,37.8199434,-122.4512408
14:00:32,265.1,16.4,37.8198513,-122.4512947
14:00:33,264.9,16.3,37.8197593,-122.4513516
14:00:34,264.8,16.3,37.819668,-122.4514118
14:00:35,264.6,16.2,37.8195777,-122.4514749
14:00:36,264.4,16.2,37.8194908,-122.4515421
14:00:37,264.3,16.2,37.8194082,-122.4516167
14:00:38,264.1,16.1,37.8193306,-122.4516934
14:00:39,264,16.1,37.8192603,-122.4517747
14:00:40,264,16.1,37.8191932,-122.4518577
14:00:41,264,16,37.8191339,-122.451946
14:00:42,264,16,37.8190786,-122.4520356
14:00:43,264,16,37.8190235,-122.4521241
14:00:44,264.1,16.1,37.8189655,-122.4522121
14:00:45,264.3,16.1,37.8188989,-122.4522934
14:00:46,264.4,16.1,37.8188362,-122.4523773
14:00:47,264.6,16.1,37.8187775,-122.4524655
14:00:48,264.7,16.2,37.8187229,-122.4525575
14:00:49,264.9,16.2,37.818673,-122.4526513
14:00:50,265.1,16.2,37.8186133,-122.4527352
14:00:51,265.2,16.3,37.8185461,-122.452813
14:00:52,265.4,16.3,37.8184777,-122.4528934
14:00:53,265.5,16.3,37.8184165,-122.4529818
14:00:54,265.6,16.3,37.8183499,-122.4530693
14:00:55,265.7,16.4,37.8182686,-122.4531494
14:00:56,265.7,16.4,37.818171,-122.4532165
14:00:57,265.8,16.4,37.8180537,-122.45326
14:00:58,265.8,16.4,37.8179217,-122.4532771
14:00:59,265.8,16.4,37.8177769,-122.4532759
14:01:00,265.8,16.4,37.8176225,-122.4532457
14:01:01,265.8,16.4,37.8174597,-122.4531891
14:01:02,265.8,16.4,37.8172896,-122.453117
14:01:03,265.9,16.5,37.8171164,-122.4530405
14:01:04,265.9,16.5,37.8169445,-122.4529542
14:01:05,265.9,16.5,37.8167748,-122.4528475
14:01:06,265.9,16.5,37.8165996,-122.452757
14:01:07,265.9,16.5,37.8164195,-122.4526764
14:01:08,266,16.5,37.8162403,-122.4526006
14:01:09,266,16.5,37.816061,-122.4525304
14:01:10,266,16.5,37.8158841,-122.4524509
14:01:11,266,16.5,37.815706,-122.4523692
14:01:12,265.9,16.5,37.8155234,-122.4523106
14:01:13,265.9,16.5,37.8153392,-122.4522584
14:01:14,265.8,16.5,37.8151541,-122.4522136
14:01:15,265.7,16.6,37.8149677,-122.4521717
14:01:16,265.6,16.6,37.8147783,-122.4521426
14:01:17,265.5,16.6,37.8145865,-122.4520999
14:01:18,265.4,16.6,37.8143958,-122.4520327
14:01:19,265.4,16.7,37.8142028,-122.4519766
14:01:20,265.4,16.7,37.8140112,-122.4519025
14:01:21,265.4,16.8,37.813825,-122.4518202
14:01:22,265.4,16.8,37.8136413,-122.4517427
14:01:23,265.6,16.8,37.813462,-122.451644
14:01:24,265.7,16.9,37.8132898,-122.4515179
14:01:25,265.9,16.9,37.813128,-122.4513933
14:01:26,265.9,16.9,37.8129913,-122.45134
14:01:27,265.9,17,37.8128646,-122.4513224
14:01:28,265.9,17,37.8127376,-122.4513246
14:01:29,265.8,17.1,37.8126013,-122.4513097
14:01:30,265.7,17.1,37.8124539,-122.4512691
14:01:31,265.6,17.1,37.812301,-122.4511973
14:01:32,265.5,17.2,37.8121491,-122.4510832
14:01:33,265.3,17.2,37.811995,-122.4509496
14:01:34,265.2,17.3,37.81185,-122.4507846
14:01:35,265.1,17.3,37.8117273,-122.4505796
14:01:36,265.1,17.3,37.8116178,-122.45036
14:01:37,265,17.3,37.8115245,-122.4501297
14:01:38,265,17.3,37.8114337,-122.4499021
14:01:39,264.9,17.3,37.811351,-122.4496768
14:01:40,264.9,17.3,37.8112724,-122.449454
14:01:41,264.9,17.4,37.811208,-122.4492283
14:01:42,265,17.4,37.8111531,-122.4489984
14:01:43,265,17.4,37.8110921,-122.4487709
14:01:44,265,17.4,37.8110402,-122.448542
14:01:45,265.1,17.5,37.8109939,-122.4483127
14:01:46,265.1,17.5,37.8109337,-122.4480905
14:01:47,265.1,17.5,37.8108671,-122.4478735
14:01:48,265.2,17.6,37.8108086,-122.4476576
14:01:49,265.2,17.6,37.8107565,-122.4474399
14:01:50,265.2,17.7,37.810707,-122.4472204
14:01:51,265.2,17.7,37.8106545,-122.4470007
14:01:52,265.2,17.8,37.8106146,-122.4467775
14:01:53,265.2,17.8,37.8105962,-122.4465523
14:01:54,265.2,17.8,37.8105978,-122.446333
14:01:55,265.2,17.9,37.8106174,-122.4461239
14:01:56,265.2,17.9,37.8106603,-122.4459307
14:01:57,265.2,17.9,37.8107263,-122.4457572
14:01:58,265.2,17.9,37.8108079,-122.4455958
14:01:59,265.2,18,37.8108962,-122.4454344
14:02:00,265.1,18,37.8109804,-122.4452644
14:02:01,265.1,18,37.8110661,-122.4450918
14:02:02,265.1,18,37.8111424,-122.4449102
14:02:03,265.1,18,37.8112202,-122.4447269
14:02:04,265.1,18,37.8112968,-122.4445369
14:02:05,265.1,18,37.8113794,-122.4443481
14:02:06,265.1,18,37.8114669,-122.4441586
14:02:07,265.1,18,37.8115512,-122.4439664
14:02:08,265.1,18,37.8116354,-122.443775
14:02:09,265.1,18,37.8117177,-122.4435827
14:02:10,265.1,18,37.8118071,-122.4433926
14:02:11,265.1,18,37.8119066,-122.4432071
14:02:12,265.2,18,37.8120077,-122.4430174
14:02:13,265.2,18.1,37.8121111,-122.4428267
14:02:14,265.2,18.1,37.8122125,-122.4426312
14:02:15,265.2,18.1,37.8123129,-122.4424349
14:02:16,265.2,18.1,37.8124138,-122.4422396
14:02:17,265.2,18.1,37.8125129,-122.4420425
14:02:18,265.2,18.2,37.8126148,-122.4418456
14:02:19,265.2,18.2,37.8127205,-122.4416532
14:02:20,265.2,18.2,37.8128255,-122.4414608
14:02:21,265.2,18.2,37.8129336,-122.4412696
14:02:22,265.2,18.2,37.8130427,-122.4410784
14:02:23,265.2,18.2,37.8131521,-122.4408882
14:02:24,265.2,18.2,37.8132613,-122.4406959
14:02:25,265,18.2,37.8133763,-122.440507
14:02:26,264.8,18.1,37.8134932,-122.4403166
14:02:27,264.5,18.1,37.8136094,-122.440125
14:02:28,264.3,18.1,37.8137237,-122.4399303
14:02:29,264,18.1,37.8138392,-122.4397348
14:02:30,263.6,18.1,37.8139593,-122.4395436
14:02:31,263.4,18.1,37.8140809,-122.4393537
14:02:32,263.1,18.1,37.8141995,-122.4391615
14:02:33,262.6,18,37.8143135,-122.4389643
14:02:34,262.2,18,37.8144312,-122.4387707
14:02:35,261.8,18,37.8145505,-122.4385788
14:02:36,261.5,18,37.8146679,-122.4383848
14:02:37,261.1,18,37.8147878,-122.4381936
14:02:38,260.9,18,37.8149061,-122.438
14:02:39,260.6,18,37.8150237,-122.4378082
14:02:40,260.4,18,37.8151447,-122.4376195
14:02:41,260.2,18,37.8152625,-122.4374287
14:02:42,260.1,18.1,37.8153819,-122.43724
14:02:43,260,18.1,37.8154973,-122.4370468
14:02:44,259.9,18.2,37.8156145,-122.436858
14:02:45,259.9,18.2,37.8157329,-122.4366732
14:02:46,259.9,18.3,37.815855,-122.4364909
14:02:47,259.9,18.4,37.8159768,-122.436309
14:02:48,259.8,18.4,37.8160951,-122.4361247
14:02:49,259.7,18.5,37.8162139,-122.435944
14:02:50,259.6,18.6,37.8163358,-122.4357657
14:02:51,259.4,18.6,37.8164596,-122.435588
14:02:52,259.3,18.7,37.8165813,-122.4354062
14:02:53,259.1,18.7,37.8167086,-122.435231
14:02:54,258.9,18.7,37.8168367,-122.435056
14:02:55,258.8,18.7,37.8169629,-122.4348802
14:02:56,258.7,18.8,37.8170876,-122.4347064
14:02:57,258.5,18.8,37.8172121,-122.4345334
14:02:58,258.3,18.8,37.8173377,-122.4343601
14:02:59,258.1,18.7,37.8174641,-122.4341857
14:03:00,258,18.7,37.8175938,-122.4340144
14:03:01,257.7,18.7,37.8177233,-122.4338446
14:03:02,257.5,18.6,37.8178473,-122.4336691
14:03:03,257.2,18.6,37.8179696,-122.4334918
14:03:04,257,18.5,37.8180885,-122.4333121
14:03:05,256.7,18.5,37.8182082,-122.4331322
14:03:06,256.5,18.4,37.8183302,-122.432956
14:03:07,256.2,18.3,37.8184522,-122.4327838
14:03:08,256.1,18.3,37.8185737,-122.4326152
14:03:09,255.8,18.2,37.8186966,-122.4324477
14:03:10,255.5,18.2,37.8188223,-122.4322838
14:03:11,255.3,18.2,37.8189478,-122.4321207
14:03:12,255,18.2,37.8190709,-122.4319558
14:03:13,254.8,18.2,37.8191894,-122.4317886
14:03:14,254.6,18.2,37.8193047,-122.4316188
14:03:15,254.4,18.2,37.8194234,-122.4314523
14:03:16,254.3,18.3,37.8195438,-122.4312856
14:03:17,254.2,18.3,37.8196636,-122.4311199
14:03:18,254.2,18.4,37.8197836,-122.4309572
14:03:19,254.1,18.5,37.8199029,-122.4307951
14:03:20,254.1,18.5,37.8200235,-122.4306373
14:03:21,254,18.6,37.8201481,-122.4304843
14:03:22,254,18.7,37.8202719,-122.4303299
14:03:23,254,18.7,37.8203951,-122.4301759
14:03:24,253.9,18.8,37.8205166,-122.4300209
14:03:25,253.8,18.9,37.8206375,-122.4298687
14:03:26,253.6,18.9,37.8207626,-122.4297237
14:03:27,253.5,19,37.8208872,-122.4295786
14:03:28,253.3,19,37.8210151,-122.4294358
14:03:29,253,19,37.8211434,-122.4292982
14:03:30,252.7,19.1,37.8212647,-122.4291562
14:03:31,252.4,19.1,37.8213872,-122.4290202
14:03:32,252.1,19.1,37.8215099,-122.4288894
14:03:33,251.8,19.1,37.8216362,-122.4287643
14:03:34,251.6,19.1,37.8217578,-122.4286326
14:03:35,251.4,19,37.8218738,-122.4284955
14:03:36,251.2,19,37.82198,-122.4283486
14:03:37,251.1,18.9,37.8220702,-122.4281901
14:03:38,251.1,18.8,37.8221318,-122.4280171
14:03:39,251.1,18.8,37.8221608,-122.4278407
14:03:40,251.1,18.7,37.8221711,-122.4276708
14:03:41,251.1,18.6,37.8221676,-122.427506
14:03:42,251.1,18.5,37.8221523,-122.4273423
14:03:43,251.2,18.3,37.8221223,-122.4271797
14:03:44,251.1,18.2,37.8220935,-122.4270115
14:03:45,251.1,18.1,37.822054,-122.426841
14:03:46,251,18,37.8220172,-122.4266645
14:03:47,250.8,17.8,37.8219759,-122.4264879
14:03:48,250.7,17.7,37.8219288,-122.4263083
14:03:49,250.6,17.5,37.8218811,-122.4261227
14:03:50,250.4,17.4,37.8218309,-122.4259363
14:03:51,250.3,17.2,37.8217751,-122.4257515
14:03:52,250.2,17.1,37.8217136,-122.4255694
14:03:53,250.1,17,37.8216546,-122.4253832
14:03:54,250.1,16.9,37.821592,-122.4251964
